nama_toko,folder_toko,jenis,kunci,tipe,file_lokal,url,ukuran_byte
Hangs on You,toko3,JIBBITZ,JB-0000082,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000082.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000082.png,296517
Hangs on You,toko3,JIBBITZ,JB-0000083,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000083.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000083.png,270360
Hangs on You,toko3,JIBBITZ,JB-0000084,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000084.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000084.png,281001
Hangs on You,toko3,JIBBITZ,JB-0000085,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000085.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000085.png,287713
Hangs on You,toko3,JIBBITZ,JB-0000086,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000086.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000086.png,303399
Hangs on You,toko3,JIBBITZ,JB-0000087,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000087.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000087.png,225313
Hangs on You,toko3,JIBBITZ,JB-0000088,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000088.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000088.png,259452
Hangs on You,toko3,JIBBITZ,JB-0000089,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000089.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000089.png,203613
Hangs on You,toko3,JIBBITZ,JB-0000090,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000090.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000090.png,251964
Hangs on You,toko3,JIBBITZ,JB-0000091,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000091.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000091.png,246568
Hangs on You,toko3,JIBBITZ,JB-0000092,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000092.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000092.png,253503
Hangs on You,toko3,JIBBITZ,JB-0000093,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000093.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000093.png,286395
Hangs on You,toko3,JIBBITZ,JB-0000094,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000094.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000094.png,296787
Hangs on You,toko3,JIBBITZ,JB-0000095,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000095.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000095.png,293630
Hangs on You,toko3,JIBBITZ,JB-0000096,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000096.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000096.png,267083
Hangs on You,toko3,JIBBITZ,JB-0000097,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000097.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000097.png,261008
Hangs on You,toko3,JIBBITZ,JB-0000098,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000098.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000098.png,281582
Hangs on You,toko3,JIBBITZ,JB-0000099,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000099.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000099.png,270144
Hangs on You,toko3,JIBBITZ,JB-0000100,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000100.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000100.png,290415
Hangs on You,toko3,JIBBITZ,JB-0000151,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000151.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000151.png,235535
Hangs on You,toko3,JIBBITZ,JB-0000152,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000152.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000152.png,270181
Hangs on You,toko3,JIBBITZ,JB-0000153,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000153.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000153.png,260735
Hangs on You,toko3,JIBBITZ,JB-0000154,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000154.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000154.png,262769
Hangs on You,toko3,JIBBITZ,JB-0000155,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000155.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000155.png,300689
Hangs on You,toko3,JIBBITZ,JB-0000156,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000156.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000156.png,274204
Hangs on You,toko3,JIBBITZ,JB-0000157,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000157.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000157.png,324284
